state,bill_number,title,description,dem_sponsors,rep_sponsors,session_start,session_end,last_action_date,last_action,completed
IL,HB3061,DIGITAL FAIR REPAIR ACT,"Creates the Digital Fair Repair Act. Provides that original equipment manufacturers shall: (i) make available to any independent repair provider or owner of equipment manufactured by the original equipment manufacturer the same diagnostic and repair documentation in the same manner as that information is made available to the manufacturer's authorized repair providers; and (ii) make available for purchase by the owner, his or her authorized agent, or any independent repair provider parts, inclusive of any updates to the embedded software of the parts, upon fair and reasonable terms. Requires manufacturers to make parts, tools, and documentation available when digital equipment is under an express warranty. Provides that a violation constitutes an unlawful practice under the Consumer Fraud and Deceptive Business Practices Act. Authorizes enforcement by the Attorney General. Defines terms. Excludes motor vehicle manufacturers. Effective January 1, 2022.",12,0,2021,2022,2022-02-18,Rule 19(a) / Re-referred to Rules Committee,0
IL,HB3061,DIGITAL FAIR REPAIR ACT,"Creates the Digital Fair Repair Act. Provides that original equipment manufacturers shall: (i) make available to any independent repair provider or owner of equipment manufactured by the original equipment manufacturer the same diagnostic and repair documentation in the same manner as that information is made available to the manufacturer's authorized repair providers; and (ii) make available for purchase by the owner, his or her authorized agent, or any independent repair provider parts, inclusive of any updates to the embedded software of the parts, upon fair and reasonable terms. Requires manufacturers to make parts, tools, and documentation available when digital equipment is under an express warranty. Provides that a violation constitutes an unlawful practice under the Consumer Fraud and Deceptive Business Practices Act. Authorizes enforcement by the Attorney General. Defines terms. Excludes motor vehicle manufacturers. Effective January 1, 2022.",12,0,2021,2022,2022-02-18,Rule 19(a) / Re-referred to Rules Committee,0
IL,HB3593,ELECTRONICS RIGHT TO REPAIR,"Creates the Digital Electronic Equipment Right to Repair Act. Provides that, for digital electronic equipment and parts for digital electronic equipment sold or used in the State, an original equipment manufacturer shall make available to an independent repair provider, solely for the purpose of repairing digital electronic equipment, on fair and reasonable terms, any documentation, parts, service access methods, and tools, including, but not limited to, any updates to information, firmware, or embedded software that is needed for purposes of repair of digital electronic equipment and training courses and materials on the operation, inspection, diagnosis, maintenance, and repair of digital electronic equipment. Provides that a violation of any of the provisions of the Act is an unlawful practice under the Consumer Fraud and Deceptive Business Practices Act. Provides for penalties. Provides that nothing in the Act shall require an original equipment manufacturer to divulge a trade secret to an independent repair provider. Amends the Consumer Fraud and Deceptive Business Practices Act making a conforming change. Effective January 1, 2024.",2,0,2023,2024,2025-01-07,Session Sine Die,1
IL,HB3602,WHEELCHAIR RIGHT TO REPAIR,"Creates the Powered Wheelchair Right to Repair Act. Provides that, for powered wheelchairs and parts for powered wheelchairs sold or used in the State, an original equipment manufacturer shall make available to an independent repair provider, solely for the purpose of repairing powered wheelchairs, on fair and reasonable terms, any documentation, parts, service access methods, and tools, including, but not limited to, any updates to information, firmware, or embedded software that is needed for purposes of repair of powered wheelchairs and training courses and materials on the operation, inspection, diagnosis, maintenance, and repair of powered wheelchairs. Provides that a violation of any of the provisions of the Act is an unlawful practice under the Consumer Fraud and Deceptive Business Practices Act. Provides for penalties. Provides that nothing in the Act shall require an original equipment manufacturer to divulge a trade secret to an independent repair provider. Amends the Consumer Fraud and Deceptive Business Practices Act making a conforming change. Effective January 1, 2024.",2,0,2023,2024,2025-01-07,Session Sine Die,1
IL,HB3601,ED TECHNOLOGY RIGHT TO REPAIR,"Creates the Educational Technology Right to Repair Act. Provides that, for educational technology equipment and parts for educational technology equipment sold or used in the State, an original equipment manufacturer shall make available to an independent repair provider, solely for the purpose of repairing educational technology equipment, on fair and reasonable terms, any documentation, parts, service access methods, and tools, including, but not limited to, any updates to information, firmware, or embedded software that is needed for purposes of repair of educational technology equipment and training courses and materials on the operation, inspection, diagnosis, maintenance, and repair of educational technology equipment. Provides that a violation of any of the provisions of the Act is an unlawful practice under the Consumer Fraud and Deceptive Business Practices Act. Provides for penalties. Provides that nothing in the Act shall require an original equipment manufacturer to divulge a trade secret to an independent repair provider. Amends the Consumer Fraud and Deceptive Business Practices Act making a conforming change. Effective January 1, 2024.",1,0,2023,2024,2025-01-07,Session Sine Die,1
IL,SB2680,RIGHT TO REPAIR,"Creates the Right to Repair Act. Provides that every manufacturer of an electronic or appliance product with a specified wholesale price or direct sales price shall make service and repair facilities available to owners of the product. Provides that the manufacturer shall make available to service and repair facilities and service dealers sufficient documentation and functional parts and tools, inclusive of any updates, on fair and reasonable terms, to effect the diagnosis, maintenance, or repair of a product for a specified period after the last date a product model or type was manufactured, regardless of whether the period exceeds the warranty period for the product. Provides that a service and repair facility or service dealer that is not an authorized repair provider of a manufacturer shall provide a written notice to any customer seeking repair of an electronic or appliance product before the repair facility or service dealer repairs the product that informs the customer that it is not an authorized repair provider for the product and shall disclose if it uses any used replacement parts or replacement parts provided by a supplier other than the manufacturer of the product. Provides that no manufacturer or authorized repair provider shall be liable for any damage or injury caused to any electronic or appliance product, person, or property that occurs as a result of repair, diagnosis, maintenance, or modification performed by a service dealer or owner. Provides that the provisions do not apply to a manufacturer that provides an equivalent or better, readily available replacement electronic or appliance product at no charge to the customer. Provides for limitations of the Act. Provides for civil penalties. Effective July 1, 2025.",1,0,2023,2024,2025-01-07,Session Sine Die,1
IL,SB2669,AGRICULTURAL EQUIPMENT REPAIR,"Creates the Agricultural Equipment Repair Bill of Rights Act. Provides that, for the purpose of providing services for agricultural equipment in the State, an original equipment manufacturer shall, with fair and reasonable terms and costs, make available to an independent repair provider or owner of the manufacturer's equipment any documentation, parts, embedded software, firmware, or tools that are intended for use with the equipment or any part, including updates to documentation, parts, embedded software, firmware, or tools. Provides that, with respect to agricultural equipment that contains an electronic security lock or other security-related function, a manufacturer shall, with fair and reasonable terms and costs, make available to independent repair providers and owners any documentation, parts, embedded software, firmware, or tools needed to reset the lock or function when disabled in the course of providing services. Provides that the manufacturer may make the documentation, parts, embedded software, firmware, or tools available to independent repair providers and owners through appropriate secure release systems. Provides that these provisions do not apply to a part that is no longer available to the original equipment manufacturer or conduct that would require the manufacturer to divulge a trade secret. Provides that a manufacturer shall not refuse to make available to an independent repair provider or owner any documentation, part, embedded software, firmware, or tool necessary to provide services on grounds that the documentation, part, embedded software, firmware, or tool itself is a trade secret, except that information necessary to repair agricultural equipment may not be redacted. Provides exceptions. Defines terms.",0,1,2023,2024,2025-01-07,Session Sine Die,1
IL,SB2680,RIGHT TO REPAIR,"Creates the Right to Repair Act. Provides that every manufacturer of an electronic or appliance product with a specified wholesale price or direct sales price shall make service and repair facilities available to owners of the product. Provides that the manufacturer shall make available to service and repair facilities and service dealers sufficient documentation and functional parts and tools, inclusive of any updates, on fair and reasonable terms, to effect the diagnosis, maintenance, or repair of a product for a specified period after the last date a product model or type was manufactured, regardless of whether the period exceeds the warranty period for the product. Provides that a service and repair facility or service dealer that is not an authorized repair provider of a manufacturer shall provide a written notice to any customer seeking repair of an electronic or appliance product before the repair facility or service dealer repairs the product that informs the customer that it is not an authorized repair provider for the product and shall disclose if it uses any used replacement parts or replacement parts provided by a supplier other than the manufacturer of the product. Provides that no manufacturer or authorized repair provider shall be liable for any damage or injury caused to any electronic or appliance product, person, or property that occurs as a result of repair, diagnosis, maintenance, or modification performed by a service dealer or owner. Provides that the provisions do not apply to a manufacturer that provides an equivalent or better, readily available replacement electronic or appliance product at no charge to the customer. Provides for limitations of the Act. Provides for civil penalties. Effective July 1, 2025.",1,0,2023,2024,2025-01-07,Session Sine Die,1
IL,HB3381,SCH CD-ENERGY CONSERVATION,"Amends the School Code. Provides that a duty of the regional superintendent of schools is to inspect and approve school building plans and specifications for energy conservation measures. In the Article concerning school energy conservation and saving measures, makes changes concerning definitions, the evaluation and submission of guaranteed energy savings contract proposals, performance reviews, the award of a contract, the written guarantee, installment payment contracts and lease purchase agreements, cost savings, available funds, an energy savings template, qualified providers, and the Smart Energy Design Assistance Center.",1,0,2025,2026,2025-02-18,Referred to Rules Committee,0
IL,HB2549,RIGHT TO REPAIR,"Creates the Right to Repair Act. Provides that every manufacturer of an electronic or appliance product with a specified wholesale price or direct sales price shall make service and repair facilities available to owners of the product. Provides that the manufacturer shall make available to service and repair facilities and service dealers sufficient documentation and functional parts and tools, inclusive of any updates, on fair and reasonable terms, to effect the diagnosis, maintenance, or repair of a product for a specified period after the last date a product model or type was manufactured, regardless of whether the period exceeds the warranty period for the product. Provides that a service and repair facility or service dealer that is not an authorized repair provider of a manufacturer shall provide a written notice to any customer seeking repair of an electronic or appliance product before the repair facility or service dealer repairs the product that informs the customer that it is not an authorized repair provider for the product and shall disclose if it uses any used replacement parts or replacement parts provided by a supplier other than the manufacturer of the product. Provides that no manufacturer or authorized repair provider shall be liable for any damage or injury caused to any electronic or appliance product, person, or property that occurs as a result of repair, diagnosis, maintenance, or modification performed by a service dealer or owner. Provides that the provisions do not apply to a manufacturer that provides an equivalent or better, readily available replacement electronic or appliance product at no charge to the customer. Provides for limitations of the Act. Provides for civil penalties. Effective July 1, 2026.",2,0,2025,2026,2025-03-21,Rule 19(a) / Re-referred to Rules Committee,0
IL,HB3490,WHEELCHAIR RIGHT TO REPAIR,"Creates the Complex Wheelchair Right to Repair Act. Provides that, for complex wheelchairs and parts for complex wheelchairs sold or used in the State, an original equipment manufacturer shall make available to an independent repair provider, solely for the purpose of repairing complex wheelchairs, on fair and reasonable terms, any documentation, parts, service access methods, and tools, including, but not limited to, any updates to information, firmware, or embedded software that is needed for purposes of repair of complex wheelchairs and training courses and materials on the operation, inspection, diagnosis, maintenance, and repair of complex wheelchairs. Provides that a violation of any of the provisions of the Act is an unlawful practice under the Consumer Fraud and Deceptive Business Practices Act. Provides for penalties. Provides that nothing in the Act shall require an original equipment manufacturer to divulge a trade secret to an independent repair provider. Amends the Consumer Fraud and Deceptive Business Practices Act to make a conforming change. Effective January 1, 2024.",2,1,2025,2026,2025-04-11,Rule 19(a) / Re-referred to Rules Committee,0
IL,HB3677,COMPLEX REHAB TECH ACT,"Creates the Complex Rehabilitation Technology Act. Provides that a person who sells or offers for sale complex rehabilitation technology in the State shall meet certain requirements. Requires a supplier of complex wheelchairs, except in certain specified circumstances, to offer service and repairs to the consumer of a complex wheelchair for the useful life expectancy of the complex wheelchair. Provides that an original equipment manufacturer may redact documentation to remove trade secrets from the documentation before providing access to the documentation if the usability of the redacted documentation for the purpose of providing services is not diminished. Allows an original equipment manufacturer to withhold information regarding a component of, design of, functionality of, or process of developing a part, embedded software, firmware, or a tool, if the information is a trade secret and the usability of the part, embedded software, firmware, or tool for the purpose of providing services is not diminished. Specifies that a violation of the Act is an unlawful practice under the Consumer Fraud and Deceptive Business Practices Act. Specifies that the Act applies with respect to complex wheelchairs sold or in use on or after the effective date of the Act. Amends the Illinois Insurance Code. Provides that a group or individual policy of accident and health insurance or a managed care plan that is amended, delivered, issued, or renewed on or after January 1, 2027 and that provides coverage for complex rehabilitation technology shall not require prior authorization, medical documentation, or proof of continued need to complete medically necessary repairs for consumer-owned complex rehabilitation technology unless certain conditions exist. Provides that a Medicaid managed care plan amended, delivered, issued, or renewed on or after January 1, 2027 and that provides coverage for complex rehabilitation technology shall not require prior authorization, medical documentation or proof of continued need to complete medically necessary repairs for consumer-owned complex rehabilitation technology under the total value of $1,500. Requires acceptance or denial of repairs over $1,500 to be made within 7 days of request of preauthorization. Requires a group or individual policy of accident and health insurance or a managed care plan that is amended, delivered, issued, or renewed on or after January 1, 2027 and that provides coverage for a complex rehabilitation technology to provide coverage for rented complex rehabilitation technology during the time the primary complex rehabilitation technology is under repair. Makes conforming changes to the State Employees Group Insurance Act, the Counties Code, the Illinois Municipal Code, the School Code, the Health Maintenance Organization Act, the Limited Health Service Organization Act, the Voluntary Health Services Plans Act, and the Illinois Public Aid Code. Effective January 1, 2026.",15,8,2025,2026,2025-08-15,Public Act . . . . . . . . . 104-0324,1
IL,HB1909,AGRICULTURAL EQUIPMENT REPAIR,"Creates the Agricultural Equipment Repair Bill of Rights Act. Provides that, for the purpose of providing services for agricultural equipment in the State, an original equipment manufacturer shall, with fair and reasonable terms and costs, make available to an independent repair provider or owner of the manufacturer's equipment any documentation, parts, embedded software, firmware, or tools that are intended for use with the equipment or any part, including updates to documentation, parts, embedded software, firmware, or tools. Provides that, with respect to agricultural equipment that contains an electronic security lock or other security-related function, a manufacturer shall, with fair and reasonable terms and costs, make available to independent repair providers and owners any documentation, parts, embedded software, firmware, or tools needed to reset the lock or function when disabled in the course of providing services. Provides that the manufacturer may make the documentation, parts, embedded software, firmware, or tools available to independent repair providers and owners through appropriate secure release systems. Provides that these provisions do not apply to a part that is no longer available to the original equipment manufacturer or conduct that would require the manufacturer to divulge a trade secret. Provides that a manufacturer shall not refuse to make available to an independent repair provider or owner any documentation, part, embedded software, firmware, or tool necessary to provide services on grounds that the documentation, part, embedded software, firmware, or tool itself is a trade secret, except that information necessary to repair agricultural equipment may not be redacted. Provides exceptions. Defines terms.",2,0,2025,2026,2025-03-21,Rule 19(a) / Re-referred to Rules Committee,0
IN,HB1413,"Right to repair. Requires a manufacturer of a consumer electronic device that is sold in Indiana to: (1) provide to an independent service provider or owner of the electronic device any service documentation the manufacturer provides to its authorized service providers; and (2) make available for purchase, upon reasonable terms, any service part the manufacturer provides to its authorized service providers (the requirements). Provides that the requirements do not apply to manufacturers of: (1) motor vehicles; or (2) medical devices. Provides for the following exceptions to the requirements: (1) Provides that a manufacturer is not required to provide: (A) information unrelated to diagnostic, maintenance, or repair service; or (B) service documentation or service parts to which the manufacturer does not have access. (2) Provides that a manufacturer is not required to provide to an independent service provider or owner service information that the manufacturer has provided to an aftermarket vendor that: (A) sells or publishes service information for consumer electronic devices; or (B) makes and sells tools or software for diagnosing, maintaining, or repairing the manufacturer's consumer electronic device. (3) Provides that a manufacturer is not required to divulge a trade secret. Provides that a manufacturer that sells service documentation to an independent service provider or owner: (1) in a format that is standardized with respect to comparable information supplied by manufacturers of comparable consumer electronic devices; and (2) under terms and conditions more favorable than the terms and conditions under which the manufacturer provides the information to an authorized service provider; may not require an authorized service provider to purchase the service documentation in a proprietary format unless the proprietary format includes content or functionality that is not available in the standardized format. Provides that a violation of the requirements is: (1) actionable by the attorney general as; and (2) subject to the remedies and penalties that apply to; a deceptive consumer sales practice.","Right to repair. Requires a manufacturer of a consumer electronic device that is sold in Indiana to: (1) provide to an independent service provider or owner of the electronic device any service documentation the manufacturer provides to its authorized service providers; and (2) make available for purchase, upon reasonable terms, any service part the manufacturer provides to its authorized service providers (the requirements). Provides that the requirements do not apply to manufacturers of: (1) motor vehicles; or (2) medical devices. Provides for the following exceptions to the requirements: (1) Provides that a manufacturer is not required to provide: (A) information unrelated to diagnostic, maintenance, or repair service; or (B) service documentation or service parts to which the manufacturer does not have access. (2) Provides that a manufacturer is not required to provide to an independent service provider or owner service information that the manufacturer has provided to an aftermarket vendor that: (A) sells or publishes service information for consumer electronic devices; or (B) makes and sells tools or software for diagnosing, maintaining, or repairing the manufacturer's consumer electronic device. (3) Provides that a manufacturer is not required to divulge a trade secret. Provides that a manufacturer that sells service documentation to an independent service provider or owner: (1) in a format that is standardized with respect to comparable information supplied by manufacturers of comparable consumer electronic devices; and (2) under terms and conditions more favorable than the terms and conditions under which the manufacturer provides the information to an authorized service provider; may not require an authorized service provider to purchase the service documentation in a proprietary format unless the proprietary format includes content or functionality that is not available in the standardized format. Provides that a violation of the requirements is: (1) actionable by the attorney general as; and (2) subject to the remedies and penalties that apply to; a deceptive consumer sales practice.",1,0,2019,2019,2019-01-14,"First reading: referred to Committee on Commerce, Small Business and Economic Development",0
IN,SB0238,Innkeeper's tax.,"Innkeeper's tax. Authorizes Jefferson County to impose its innkeeper's tax at a rate of 8% (instead of 5% under current law). Provides that, if the tax rate is increased to more than 5%, the portion of the tax rate that exceeds 5% expires on December 31, 2045. Authorizes Elkhart County to impose its innkeeper's tax at a rate of 8% (instead of 5% under current law). Provides that, if the tax rate is increased to more than 5%, the portion of the tax rate that exceeds 5% expires on December 31, 2045. Authorizes Knox County to impose its innkeeper's tax at a rate of 8% (instead of 6% under current law). Provides that, if the tax rate is increased to more than 6%, the portion of the tax rate that exceeds 6% expires on December 31, 2045.",0,6,2024,2024,2024-03-13,Public Law 121,1
IN,HB1155,Right to repair.,"Right to repair. Requires a manufacturer of a piece of agricultural equipment that is sold in Indiana, subject to certain exceptions, to: (1) provide to an independent service provider or owner of the agricultural equipment any service documentation the manufacturer provides to its authorized service providers; and (2) make available for purchase, upon reasonable terms, any part or tool the manufacturer provides to its authorized service providers. Provides that a violation of the requirements is: (1) actionable by the attorney general; and (2) subject to the remedies and penalties that apply to a deceptive consumer sales practice.",0,4,2024,2024,2024-01-16,Representative Prescott added as coauthor,0
IN,HB1060,Right to repair.,"Right to repair. Requires a manufacturer of a consumer electronic device or a piece of agricultural equipment that is sold in Indiana, subject to certain exceptions, to: (1) provide to an independent service provider, or to the owner of the consumer electronic device or agricultural equipment (owner), any service documentation the manufacturer provides to its authorized service providers; and (2) make available for purchase, upon reasonable terms, any service part the manufacturer provides to its authorized service providers. Provides that a manufacturer that sells service documentation to an independent service provider or owner: (1) in a format that is standardized with respect to comparable information supplied by manufacturers of comparable consumer electronic devices or agricultural equipment; and (2) under terms and conditions more favorable than the terms and conditions under which the manufacturer provides the information to an authorized service provider; may not require an authorized service provider to purchase the service documentation in a proprietary format unless the proprietary format includes content or functionality that is not available in the standardized format. Provides that a violation of the requirements is: (1) actionable by the attorney general; and (2) subject to the remedies and penalties that apply to a deceptive consumer sales practice.",2,0,2025,2025,2025-01-08,First reading: referred to Committee on Agriculture and Rural Development,0
KS,HB2122,Creating the fair repair act.,Creating the fair repair act.,0,0,2017,2018,2018-05-04,House Died in Committee,0
KS,HB2489,"Amending provisions of the technology-enabled fiduciary financial institutions act relating to out-of-state financial institutions, banks and trust companies conducting fidfin transactions, fees and assessments, examinations, disclosures to consumers and requiring such institutions to be mandatory reporters for purposes of elder abuse.","Amending provisions of the technology-enabled fiduciary financial institutions act relating to out-of-state financial institutions, banks and trust companies conducting fidfin transactions, fees and assessments, examinations, disclosures to consumers and requiring such institutions to be mandatory reporters for purposes of elder abuse.",0,0,2021,2022,2022-04-25,"House Approved by Governor on Wednesday, April 13, 2022",1
KS,HB2288,Creating the motor vehicle right to repair act.,Creating the motor vehicle right to repair act.,0,0,2025,2026,2025-02-05,House Referred to Committee on Transportation,0
KY,HB501,AN ACT relating to child support.,"Amend KRS 403.212 to require the Cabinet for Health and Family Services to establish a child support obligation worksheet; define ""obligor""; make changes to child support obligations; create a new section of KRS Chapter 403 to define terms; create a parenting time credit; amend KRS 620.090 to require the court to make specific findings if there are reasonable grounds to believe a child is dependent, neglected, or abused upon completion of a temporary removal hearing; amend various statutes to conform; EFFECTIVE, IN PART, January 1, 2023.",1,1,2022,2022,2022-04-08,signed by Governor (Acts Ch. 122),1
KY,HB169,AN ACT relating to child support.,Create a new section of KRS Chapter 403 to establish conditions for adjusting the presumptive child support award under the child support guidelines table on the basis of a shared parenting order for physical custody of a child; exempt children receiving public assistance; amend KRS 403.212 to establish new amounts in the child support guidelines table and delete the old amounts.,2,0,2013,2013,2013-02-28,to Judiciary (S),0
LA,SB178,Provides relative to the right to repair farm equipment. (1/1/20),Provides relative to the right to repair farm equipment. (1/1/20),0,1,2019,2019,2019-04-08,"Introduced in the Senate; read by title. Rules suspended. Read second time and referred to the Committee on Agriculture, Forestry, Aquaculture, and Rural Development.",0
MA,H1763,Amending the independent contractor statute,Relative to properly classifying an individual as an employee. Labor and Workforce Development.,1,0,2015,2016,2016-09-12,"Accompanied a study order, see H4605",1
MA,H1763,Amending the independent contractor statute,Relative to properly classifying an individual as an employee. Labor and Workforce Development.,1,0,2015,2016,2016-09-12,"Accompanied a study order, see H4605",1
MA,H143,Relative to the digital right to repair,"For legislation to establish fair and reasonable terms for providing diagnostic, service or repair information and services for digital electronic products . Consumer Protection and Professional Licensure.",34,4,2017,2018,2018-04-17,"Accompanied a new draft, see S2430",1
MA,H143,Relative to the digital right to repair,"For legislation to establish fair and reasonable terms for providing diagnostic, service or repair information and services for digital electronic products . Consumer Protection and Professional Licensure.",34,4,2017,2018,2018-04-17,"Accompanied a new draft, see S2430",1
MA,S107,Relative to the digital right to repair,For legislation relative to digital right to repair. Consumer Protection and Professional Licensure.,25,3,2019,2020,2020-04-27,Bill reported favorably by committee and referred to the committee on Senate Ways and Means,0
MA,H218,Relative to the digital right to repair,"For legislation to establish fair and reasonable terms for providing diagnostic, service or repair information and services for digital electronic products. Consumer Protection and Professional Licensure.",68,8,2019,2020,2020-04-27,Accompanied S107,1
MA,S107,Relative to the digital right to repair,For legislation relative to digital right to repair. Consumer Protection and Professional Licensure.,25,3,2019,2020,2020-04-27,Bill reported favorably by committee and referred to the committee on Senate Ways and Means,0
MA,H218,Relative to the digital right to repair,"For legislation to establish fair and reasonable terms for providing diagnostic, service or repair information and services for digital electronic products. Consumer Protection and Professional Licensure.",68,8,2019,2020,2020-04-27,Accompanied S107,1
MA,H2081,"To better coordinate suicide prevention services, behavioral health crisis care and emergency services through 988 implementation","For legislation to establish the behavioral health crisis and suicide prevention trust fund. Mental Health, Substance Use and Recovery.",28,2,2021,2022,2023-01-03,No further action taken,0
MA,H341,Relative to the digital right to repair,"For legislation to establish fair and reasonable terms for providing diagnostic, service or repair information and services for digital electronic products. Consumer Protection and Professional Licensure.",61,8,2021,2022,2022-02-10,Accompanied S166,1
MA,H2081,"To better coordinate suicide prevention services, behavioral health crisis care and emergency services through 988 implementation","For legislation to establish the behavioral health crisis and suicide prevention trust fund. Mental Health, Substance Use and Recovery.",28,2,2021,2022,2023-01-03,No further action taken,0
MA,H341,Relative to the digital right to repair,"For legislation to establish fair and reasonable terms for providing diagnostic, service or repair information and services for digital electronic products. Consumer Protection and Professional Licensure.",61,8,2021,2022,2022-02-10,Accompanied S166,1
MA,H3826,Authorizing the town of Holliston to establish a means-tested senior citizen property tax exemption,That the town of Holliston be authorized to establish a means-tested senior citizen property tax exemption in said town. Revenue. [Local Approval Received.],1,0,2023,2024,2024-05-23,"Signed by the Governor, Chapter 100 of the Acts of 2024",1
MA,S793,Resolve establishing a task force on MassHealth reimbursement for schools,Relative to MassHealth reimbursement for schools. Health Care Financing.,1,0,2023,2024,2024-05-09,"Accompanied a study order, see H4634",1
MA,H5122,Communication from the Department of Energy Resources of the Executive Office of Energy and Environmental Affairs (under the provisions of section 12 of Chapter 25A of the General Laws) submitting proposed amendments to regulations 225 CMR 22.00 and 23.00 – governing the Stretch and Specialized Code Regulations,Communication from the Department of Energy Resources of the Executive Office of Energy and Environmental Affairs (under the provisions of section 12 of Chapter 25A of the General Laws) submitting proposed amendments to regulations 225 CMR 22.00 and 23.00 – governing the Stretch and Specialized Code Regulations,0,0,2023,2024,2024-12-30,Read for its information and returned,0
MA,S732,Increasing access to universal dental care,For legislation to increase access to universal dental care for all residents of the commonwealth regardless of immigration status. Financial Services.,1,0,2025,2026,2025-02-27,House concurred,0
MA,S397,To promote safe firearm storage education and increase the well-being of students,For legislation to promote safe firearm storage education and increase the well-being of students. Education.,2,1,2025,2026,2025-07-24,Bill reported favorably by committee and referred to the committee on Senate Ways and Means,0
MA,H1300,Relative to cannabis for Medicare eligible patients,Relative to cannabis for eligible patients. Financial Services.,1,0,2025,2026,2025-02-27,Senate concurred,0
MA,H3779,Relative to motor vehicle leasing parity,Relative to motor vehicle leasing parity. Transportation.,3,0,2025,2026,2025-07-28,Bill reported favorably by committee and referred to the committee on House Ways and Means,0
MA,H189,Relative to billboard advertisements for cannabis,Relative to billboard advertisements for cannabis. Cannabis Policy.,0,1,2025,2026,2025-07-09,Hearing rescheduled to 07/22/2025 from 10:30 AM-01:00 PM in A-2,0
MA,H3617,To regulate the training and supervision of snowmobiles,For legislation to require operators of recreational utility vehicles to participate in a training program. Transportation.,1,0,2025,2026,2025-06-18,Hearing rescheduled to 06/24/2025 from 01:00 PM-05:00 PM in A-2,0
MA,H433,Relative to digital right to repair,"Relative to diagnostic, service or repair information and services for digital electronic products. Consumer Protection and Professional Licensure.",7,0,2025,2026,2025-02-27,Senate concurred,0
MD,SB847,Child Support – Guidelines,"Authorizing a court, in determining whether the application of the child support guidelines would be unjust or inappropriate in a particular case, to consider whether an obligor's monthly obligation would leave the obligor with a monthly actual income below 110% the 2019 federal poverty level for an individual; authorizing the court to decline to establish a child support order under certain circumstances; etc.",1,0,2020,2020,2020-05-08,"Enacted under Article II, Section 17(c) of the Maryland Constitution - Chapter 384",1
MD,HB738,Criminal Procedure - Medical Emergency - Immunity,"Altering a provision of law to specify that a person who is experiencing a medical emergency, rather than a person who reasonably believes that the person is experiencing a medical emergency, after ingesting or using alcohol or drugs is immune from criminal arrest, charge, or prosecution for a drug or alcohol-related misdemeanor if the evidence for the arrest, charge, or prosecution was obtained solely as a result of the person seeking or receiving medical assistance; etc.",2,0,2020,2020,2020-01-30,Hearing 2/25 at 1:00 p.m.,0
MD,HB1116,Criminal Procedure – Sexual Offenders – Lifetime Supervision,Requiring a sentence for certain persons convicted of certain sexual abuse crimes to include a term of lifetime sexual offender supervision; and providing for the prospective application of the Act.,1,3,2020,2020,2020-02-07,Hearing 2/21 at 1:00 p.m.,0
MD,SB84,Pharmacists – Administration of Self–Administered Medications and Maintenance Injectable Medications (Christopher King Access to Treatment Act),"Authorizing a pharmacist who meets certain requirements to administer maintenance injectable medications to a patient under certain circumstances; requiring the State Board of Pharmacy, by September 1, 2021, and in consultation with the State Board of Physicians and the State Board of Nursing, to adopt regulations establishing standard procedures; requiring the Maryland Medical Assistance Program and the Maryland Children's Health Program to provide certain coverage for the administering of certain medications by a licensed pharmacist; etc.",2,0,2021,2021,2021-05-30,"Enacted under Article II, Section 17(c) of the Maryland Constitution - Chapter 758",1
MD,HB558,For-Hire Driving and Vehicles - Requirements,Altering the requirements for submission of certain photographs by certain applicants for a for-hire driver's license to the Public Service Commission; requiring certain applicants for a for-hire driver's license to allow the Commission access to photographs through the Motor Vehicle Administration; requiring certain applicants to provide photographs in a format that the Commission specifies; repealing the requirement for certain applicants for a Baltimore City taxicab license to have completed a certain course; etc.,1,0,2021,2021,2021-05-18,Approved by the Governor - Chapter 269,1
MD,HB562,Consumer Protection - Right to Repair - Farm Equipment,"Requiring a farm equipment manufacturer to make available certain documentation, updates, or information to an independent repair provider or owner of farm equipment to allow for the diagnosis, maintenance, or repair of the farm equipment; prohibiting a farm equipment manufacturer from knowingly misrepresenting or withholding farm equipment part numbers from a customer for a certain purpose; applying the Act prospectively: etc.",10,17,2022,2022,2022-03-08,Unfavorable Report by Economic Matters,0
MD,SB631,Consumer Protection – Consumer Electronic Equipment – Right to Repair,"Requiring an original equipment manufacturer of consumer electronic equipment to make available, on fair and reasonable terms, certain documentation, parts, and tools to an independent repair provider or owner of consumer electronic equipment.",1,0,2022,2022,2022-02-28,Withdrawn by Sponsor,0
MD,HB1193,Consumer Protection - Motor Vehicles - Right to Repair,"Requiring a manufacturer of certain motor vehicles to provide certain information and tools related to the diagnosis, service, and repair of motor vehicles to certain owners and independent repair facilities under certain circumstances; requiring a manufacturer that sells motor vehicles with telematics systems to install an open data platform in certain motor vehicles; requiring the Consumer Protection Division of the Office of the Attorney General to develop a certain document relating to telematics systems and certain consumer rights; etc.",0,1,2023,2023,2023-02-10,Hearing 3/08 at 1:00 p.m.,0
MD,HB712,Consumer Protection - Right to Repair - Farm Equipment,"Requiring a farm equipment manufacturer to make available certain documentation, updates, or information to an independent repair provider or owner of farm equipment to allow for the diagnosis, maintenance, or repair of the farm equipment; prohibiting a farm equipment manufacturer from knowingly misrepresenting or withholding farm equipment part numbers from a customer for a certain purpose; etc.",3,14,2023,2023,2023-02-28,Withdrawn by Sponsor,0
